Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4
1,Ungdom E1,169,Olof Backman,Karlskoga EK,4,01:14.0,14:56.8,15:13.7,15:26.0,15:37.3
2,Motion -39,539,Niklas Mörk,Laxå MK,4,01:48.7,14:53.7,15:14.8,15:32.9,16:07.1
3,Ungdom E1,175,William Almén,SMK Värnamo,4,02:01.9,14:50.7,15:07.8,15:50.9,16:12.3
4,Ungdom E1,100,Hugo Andersson,Tibro MK,4,02:32.6,14:44.2,15:09.5,15:51.4,16:47.3
5,Ungdom E1,104,Theodor Popp,SMK Värnamo,4,02:50.2,15:14.8,15:40.6,15:52.6,16:02.1
6,Motion -39,519,Erik Larsson,Tibro MK,4,02:55.3,15:30.6,15:26.2,15:44.4,16:13.9
7,Ungdom E1,184,Sven Höglander,Djursdala SK,4,03:01.3,15:09.7,15:44.9,15:58.6,16:07.9
8,Motion -39,552,Jakob Johansson,Tidaholms MK,4,03:59.9,15:18.2,15:47.8,16:08.7,16:45.1
9,Motion -39,518,Alexander Fält,Försvarsmaktens EK,4,04:43.0,15:35.5,16:09.0,16:31.6,16:26.7
10,Motion 40-49,1111,Magnus Edberg,Huskvarna MK,4,04:51.3,15:29.2,16:01.5,16:26.9,16:53.6
11,Ungdom E1,193,Emil Wänndahl,Huskvarna MK,4,05:08.6,15:23.3,15:59.4,16:14.7,17:31.2
12,Ungdom E1,165,Hugo Hellström,Norrahammars MK,4,05:17.3,15:35.9,15:55.9,16:39.5,17:05.9
13,Ungdom E1,162,Axel Plogner,Karlstad MX Klubb,4,05:42.2,16:10.0,16:13.5,16:45.0,16:33.4
14,Motion -39,620,Hampus Östensson,Hallsbergs MK,4,05:55.3,15:54.2,16:34.5,16:42.5,16:44.0
15,Motion 40-49,970,Roy Kolberg,Team Westom Motorcykel,4,06:04.6,15:51.5,16:30.1,16:50.8,16:52.1
16,Motion 40-49,1008,Christer Huss,Göta MS,4,06:08.1,16:17.6,16:32.4,16:44.6,16:33.3
17,Ungdom E1,188,Liam Ljungström,SMK Vingåker,4,06:46.3,15:59.0,16:22.1,16:59.5,17:25.5
18,Motion -39,536,Andreas Mörk,Laxå MK,4,06:55.1,16:12.5,16:33.6,16:58.5,17:10.3
19,Motion -39,507,Alfred Ivarsson,Älvbygdens MK,4,07:09.1,16:31.1,16:46.3,16:46.2,17:05.3
20,Ungdom E1,105,Alfred Gustavsson,Mariestads EK,4,07:12.0,16:39.2,16:37.8,16:46.6,17:08.3
21,Motion 40-49,931,Mårten Gustavsson,Försvarsmaktens EK,4,07:27.2,15:58.2,17:22.4,17:29.7,16:36.8
22,Motion 40-49,976,Joakim Ericsson,Töreboda MK,4,07:34.5,16:47.6,16:35.6,17:00.0,17:11.3
23,Motion 40-49,944,Niklas Strömberg,Götene MK,4,07:36.4,15:52.5,16:57.5,17:21.2,17:25.1
24,Ungdom E1,102,Liam Qvist,Åbågen MCK,4,07:37.4,16:09.0,16:43.6,17:14.1,17:30.6
25,Motion -39,513,Joacim Wigertson,Kullings MS,4,07:38.5,16:14.4,16:43.3,17:16.2,17:24.4
26,Ungdom E1,177,Max Karlsson,Stenungsunds MS,4,07:42.2,15:51.0,17:36.2,16:44.2,17:30.7
27,Motion -39,520,Linus Ernstsson,Bengtsfors MCC,4,07:42.9,16:16.2,16:50.6,17:00.7,17:35.3
28,Motion -39,408,Matilda Huss,Göta MS,4,08:06.2,16:59.8,17:03.6,17:07.2,16:55.5
29,Ungdom E1,151,Liam Nilsson,FMCK Skövde,4,08:10.1,16:14.1,17:57.3,16:45.6,17:12.9
30,Motion 40-49,923,Stefan Liljedahl,Tibro MK,4,08:18.7,16:33.9,17:09.5,17:12.5,17:22.6
31,Motion -39,576,Robert Lind,Tranås MS,4,08:30.9,16:23.8,16:48.1,17:36.5,17:42.3
32,Motion -39,794,Joel Kvist,Försvarsmaktens EK,4,08:31.2,15:33.4,17:57.9,17:39.2,17:20.6
33,Motion -39,521,Simon Holmbäck,Hjo MK,4,08:31.7,16:28.6,16:58.8,17:25.3,17:38.8
34,Motion 40-49,1007,Henrik Klövmark,Ma Lerum,4,08:48.7,16:17.9,17:09.9,17:44.9,17:35.8
35,Motion 40-49,964,Andreas Remfäldt,Mariestads EK,4,08:52.5,16:59.1,17:24.6,17:18.4,17:10.2
36,Motion -39,547,Felix Johansson,Kinds MK,4,09:29.7,17:04.5,17:13.9,17:29.4,17:41.7
37,Motion -39,527,George Svantesson,Kullings MS,4,09:31.1,17:12.1,17:28.1,17:29.9,17:20.8
38,Motion -39,526,Simon Henriksson,Lilla Edets MCK,4,09:33.0,16:56.8,17:07.5,18:00.2,17:28.5
39,Motion 40-49,994,Mikael Bengtsson,Falköpings MK,4,09:36.8,17:05.7,17:42.7,17:31.3,17:17.0
40,Motion -39,568,Dennis Larsson,Örebro EK,4,09:46.8,16:50.8,17:41.5,17:34.6,17:39.8
41,Motion 40-49,924,Sebastian Carlsson,SMK Vadstena,4,10:15.6,16:34.3,17:10.5,18:04.8,18:25.9
42,Motion 40-49,1011,Mikael Hjelm,Finspångs MS,4,10:18.0,17:16.6,17:41.9,17:42.5,17:36.8
43,Motion 40-49,960,Fredric Randström,Hagfors MS,4,10:54.1,17:21.3,17:46.7,17:52.3,17:53.7
44,Motion -39,537,Emil Meijer,Götene MK,4,11:24.2,17:09.0,18:05.1,17:55.5,18:14.5
45,Motion 40-49,1006,Anton Bernhardsson,Kortedala MK,4,11:25.5,17:24.4,17:52.2,18:07.6,18:01.2
46,Motion -39,584,Johan Arne Wärnelöv,Tranås MS,4,11:25.6,17:15.9,17:47.8,18:02.8,18:18.9
47,Motion -39,695,Dennis Eriksson,SMK Ronneby,4,11:32.0,17:29.6,17:51.4,18:07.1,18:03.7
48,Motion 40-49,935,Stefan Andersson,Lilla Edets MCK,4,11:45.4,17:21.4,17:25.1,18:48.6,18:10.2
49,Motion -39,729,Gustav Malm,Hallsbergs MK,4,11:46.0,17:30.8,17:43.0,18:00.6,18:31.5
50,Motion -39,560,John Larsson,Carlsborgs MK,4,11:48.7,17:42.7,18:07.3,18:10.2,17:48.4
51,Motion 40-49,933,Ola Korsell,Götene MK,4,12:05.3,16:45.7,18:01.2,19:06.4,18:11.9
52,Motion 40-49,901,Mattias Eriksson,Varbergs MK,4,12:07.8,17:20.9,17:39.6,18:07.5,18:59.6
53,Motion -39,510,Simon Öberg,Norrahammars MK,4,12:22.1,17:25.3,18:00.5,18:17.1,18:39.0
54,Motion -39,574,Andreas Nordström,Eds-Skottbacka MX Förening,4,12:22.3,17:46.6,17:50.7,18:03.4,18:41.4
55,Motion 40-49,957,Markus Andersson,MK Team Treske,4,12:24.4,17:25.3,18:08.8,18:31.5,18:18.7
56,Motion -39,580,Albin Pettersson,Kristdala Motorsällskap,4,12:27.3,17:21.9,18:14.5,18:19.4,18:31.3
57,Motion 40-49,911,Ronny Eskengren,Älvbygdens MK,4,12:29.1,17:29.0,18:03.7,18:25.9,18:30.3
58,Motion -39,593,Patrik Johansson,Tibro MK,4,12:35.7,18:20.5,17:57.5,18:09.9,18:07.7
59,Motion -39,566,Henrik Madsen,Huskvarna MK,4,12:36.9,17:36.1,17:49.7,18:23.7,18:47.3
60,Motion -39,591,Thim Svensson,Vissefjärda EK,4,12:44.3,17:58.8,17:32.7,18:21.5,18:51.2
61,Motion 40-49,908,Martin Börjesson,FMCK Borås,4,13:00.0,17:20.5,18:10.3,18:44.0,18:45.1
62,Motion -39,799,Patrik Förkrök Ledström,SMK Vadstena,4,13:02.6,17:48.5,17:59.4,18:32.8,18:41.7
63,Motion 40-49,997,Robert Strandberg,Hjo MK,4,13:04.0,17:33.4,18:05.9,18:19.9,19:04.7
64,Ungdom E1,194,Edwin Djurstedt,Djursdala SK,4,13:06.5,17:21.9,18:05.7,18:57.9,18:40.9
65,Motion -39,509,Jonathan Storm,Kortedala MK,4,13:17.4,17:54.4,18:22.8,18:41.3,18:18.8
66,Motion -39,589,Joel Rådberg,SMK Trollhättan,4,13:18.1,17:56.0,18:05.5,18:23.2,18:53.2
67,Motion 40-49,1012,Mattias Ringholm,Hallsbergs MK,4,13:19.7,17:40.8,17:55.2,18:20.0,19:23.6
68,Motion -39,562,Johan Hedström,Kinds MK,4,13:24.4,17:48.1,18:18.7,18:49.6,18:27.8
69,Motion -39,549,Rasmus Levén,Bodafors MK,4,13:32.0,18:04.2,18:14.9,18:40.7,18:32.1
70,Motion 40-49,995,Oddbjørn Sandvik,Flittig Enduro,4,13:36.9,17:45.9,18:15.5,18:36.8,18:58.6
71,Motion -39,540,Ronnie Nilsson,Töreboda MK,4,13:45.5,17:49.9,18:35.2,18:50.0,18:30.3
72,Motion 40-49,989,Fredrik Sääv,Götene MK,4,13:52.4,17:38.8,18:24.3,18:37.4,19:11.7
73,Motion -39,573,Jimmi Jakobsson,MK Team Treske,4,13:56.3,17:48.4,18:05.1,18:50.8,19:11.9
74,Motion -39,501,Linus Kjellström,Götene MK,4,14:14.0,17:28.9,18:40.8,19:08.1,18:56.1
75,Motion -39,528,Hugo Lindström,FMCK Borås,4,14:17.0,18:15.5,18:45.8,18:27.7,18:48.0
76,Motion 40-49,903,Björn Bäckström,MK Ran,4,14:23.1,17:46.2,18:14.1,20:10.8,18:11.8
77,Motion -39,500,Tommy Oldenburg,FMCK Skövde,4,14:25.5,17:50.9,18:28.2,18:58.9,19:07.2
78,Motion 40-49,943,Anton Gustavsson,Mariestads EK,4,14:33.4,18:17.3,18:15.9,18:51.3,19:08.8
79,Motion -39,535,Johan Andersson,SMK Östgöta,4,14:38.8,17:42.6,18:21.4,19:14.4,19:20.3
80,Motion 40-49,952,Christian Johansson,Tidaholms MK,4,14:45.0,17:47.6,18:44.6,18:38.1,19:34.5
81,Motion 40-49,928,Johan Debrianté,SMK Ljungby,4,14:48.4,18:02.6,18:16.8,19:14.1,19:14.7
82,Motion -39,631,Dennis Olesen,Kullings MS,4,14:50.2,17:10.7,19:33.2,18:44.0,19:22.2
83,Motion 40-49,947,Magnus Enander,Ulricehamns MK,4,14:50.5,17:43.0,18:34.9,18:52.2,19:40.2
84,Motion -39,572,Axel Karlsson,Laxå MK,4,15:01.7,18:07.6,18:57.4,18:48.4,19:08.2
85,Motion 40-49,973,Björn Runfeldt,Norrahammars MK,4,15:04.5,18:33.6,18:34.2,18:41.4,19:15.1
86,Motion 40-49,961,Daniel Lundqvist,Töreboda MK,4,15:13.4,18:19.1,18:56.1,19:13.7,18:44.4
87,Motion -39,565,Erik Wallskog,Töreboda MK,4,15:14.5,18:25.9,18:12.6,18:46.6,19:49.2
88,Motion -39,632,Viktor Hultman,Mariestads EK,4,15:30.5,18:16.7,18:24.0,19:16.6,19:33.0
89,Motion -39,545,Grim Fallenius,Götene MK,4,15:32.7,18:47.0,18:38.3,18:47.9,19:19.4
90,Motion -39,556,Tommy Gustafsson,Huskvarna MK,4,15:41.9,18:29.9,19:03.9,19:12.2,18:55.7
91,Motion -39,569,Christoffer Jonasson,SMC,4,15:49.4,18:15.2,19:29.9,19:07.6,18:56.5
92,Motion -39,585,Niklas Kedén,Hjo MK,4,15:57.0,18:31.7,18:24.0,19:10.1,19:51.0
93,Ungdom E1,186,Emil Elmwall,Hallsbergs MK,4,16:01.8,18:30.7,20:21.3,18:48.0,18:21.7
94,Motion -39,543,Axel Gustafsson,Lidköpings MCK,4,16:19.2,19:02.5,18:51.4,18:49.0,19:36.2
95,Motion -39,541,Patric Gustafsson,Huskvarna MK,4,16:21.6,18:22.7,19:08.3,19:29.6,19:20.9
96,Motion -39,555,Dennis Hörberg,Norrahammars MK,4,16:22.3,18:45.7,18:51.1,19:16.6,19:28.8
97,Motion 40-49,917,Tomas Blom,Hallsbergs MK,4,16:30.1,18:11.9,18:54.0,19:45.9,19:38.1
98,Motion -39,523,Rasmus Bengt Olof Malmborg,Björkö EK,4,16:30.6,19:14.0,18:53.8,18:59.3,19:23.5
99,Motion -39,530,Patrik Olsson,Lilla Edets MCK,4,16:36.2,17:40.0,21:50.2,18:35.5,18:30.4
100,Motion 40-49,913,Daniel Blomqvist,FMCK Skövde,4,16:46.5,19:06.2,19:12.3,19:26.3,19:01.5
101,Motion -39,786,Anton Persson,Tibro MK,4,17:06.1,18:31.5,19:30.6,19:47.3,19:16.5
102,Motion 40-49,920,Christoffer Johnsson,Hisingens MK,4,17:09.6,18:12.6,18:55.7,19:55.1,20:06.1
103,Motion 40-49,981,Patrick Wik,Skene MS,4,17:09.8,18:51.9,18:47.7,19:39.5,19:50.5
104,Motion -39,582,Jonathan Lagerqvist,Björkö EK,4,17:24.5,18:59.7,19:28.0,19:14.2,19:42.5
105,Motion 40-49,932,Niklas Utterberg,Norrahammars MK,4,17:35.2,19:08.6,19:14.8,19:44.5,19:27.2
106,Motion 40-49,1004,Rickard Persson,Tibro MK,4,17:42.8,19:17.5,19:21.3,19:23.2,19:40.6
107,Motion -39,639,Melker Jansson,Karlskoga EK,4,17:43.1,17:05.1,18:15.3,24:01.2,18:21.3
108,Motion -39,667,Philip Baumgartner,Götene MK,4,17:47.7,18:38.7,19:17.4,20:04.5,19:46.8
109,Motion 40-49,904,Henrik Lindström,FMCK Borås,4,17:48.2,18:34.0,19:53.6,19:50.7,19:29.8
110,Motion -39,689,Jonatan Svantesson,Kullings MS,4,18:00.1,18:44.9,19:58.7,19:36.8,19:39.5
111,Motion 40-49,934,Fredrik Hassesjö,Ulricehamns MK,4,18:00.6,19:02.1,19:38.0,19:49.7,19:30.8
112,Motion 40-49,955,Henrik Nilsson,Mariestads EK,4,18:07.8,19:37.9,19:30.9,19:13.2,19:45.7
113,Motion -39,544,Anton Isaksson,Götene MK,4,18:10.0,19:02.3,19:31.7,20:03.6,19:32.3
114,Ungdom E1,198,Jacob Stacke,SMK Värnamo,4,18:10.5,18:22.5,18:14.9,22:01.6,19:31.4
115,Motion 40-49,930,Jonas Lyttbacka,Örebro EK,4,18:13.2,18:46.0,19:33.6,19:46.7,20:06.9
116,Motion -39,559,Jesper Herngren,Falköpings MK,4,18:27.3,18:27.1,19:21.0,19:24.7,21:14.2
117,Motion -39,669,Albin Johansson,Lidköpings MCK,4,18:35.9,19:15.5,19:11.6,20:09.5,19:59.1
118,Motion -39,728,Arvid Siggesson,Tibro MK,4,18:47.0,19:37.6,19:34.0,19:57.1,19:38.1
119,Motion -39,517,Simon Gustafsson,Älvbygdens MK,4,18:49.6,19:08.5,19:35.4,20:04.9,20:00.6
120,Motion 40-49,958,Erik Bergstrand,Oskarshamns MSK,4,18:57.5,19:20.4,19:30.9,19:54.2,20:11.8
121,Motion 40-49,1005,Marcus Stacke,SMK Värnamo,4,19:01.5,18:47.5,19:14.4,21:02.3,19:57.1
122,Motion -39,546,Rikard Sundström,Götene MK,4,19:03.1,19:09.8,19:40.2,20:01.8,20:11.2
123,Motion -39,542,Bernard Abrahamsson,FMCK BohusDal,4,19:03.6,18:51.7,20:20.0,20:10.3,19:41.4
124,Motion 40-49,950,Johan Elfving,Ulricehamns MK,4,19:04.2,19:14.6,19:13.7,20:11.8,20:23.9
125,Motion -39,502,Johan Svensson,Falköpings MK,4,19:11.7,19:28.7,20:20.5,19:54.8,19:27.6
126,Motion -39,567,Victor Joensuu,MSK Hammaren,4,19:29.2,19:05.8,19:24.3,19:54.1,21:04.8
127,Ungdom E1,115,Simon Rutgersson,Stenungsunds MS,4,19:30.1,19:30.4,19:08.9,22:12.9,18:37.6
128,Motion -39,762,Markus Göransson,Lilla Edets MCK,4,19:32.3,19:46.2,19:58.3,19:44.9,20:02.8
129,Motion -39,652,Filip Johansson,Tidaholms MK,4,19:35.6,19:17.4,19:25.8,20:51.0,20:01.2
130,Motion 40-49,922,Mikael Sahlin,Lidköpings MCK,4,19:43.8,19:53.4,19:36.4,20:01.2,20:12.6
131,Motion 40-49,972,Jonas Svensson,Hallsbergs MK,4,19:54.7,19:06.7,19:59.9,20:00.0,20:47.9
