Plats,År,Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
Tibro MK,2023,1,Motion 50-59,1465,Per Wikvist,Hallsbergs MK,KTM,19:06.0  18:18.8  18:30.5  ,3,55:55.3
Tibro MK,2023,2,Ungdom E0,1,Hampus Andersson,Tibro MK,KTM,18:46.6  18:39.3  18:51.4  ,3,56:17.4
,,,,,,,,,,
Tibro MK,2023,3,Motion 50-59,1244,Robert Salomonsson,Tibro MK,Beta,18:47.7  18:51.4  18:45.2  ,3,56:24.5
,,,,,,,,,,
Tibro MK,2023,4,Motion 50-59,1222,Klas Elofsson,Skene MS,Beta,19:40.9  18:56.9  19:06.4  ,3,57:44.4
,,,,,,,,,,
Tibro MK,2023,5,Ungdom E0,89,Hjalmar Johansson,SMK Eksjö,KTM,19:46.0  19:14.4  19:20.4  ,3,58:20.9
,,,,,,,,,,
Tibro MK,2023,6,Motion 50-59,1286,Mikael Wiberg,Hallsbergs MK,Husqvarna,19:58.2  19:15.8  19:17.2  ,3,58:31.3
,,,,,,,,,,
Tibro MK,2023,7,Motion 50-59,1291,Joakim Fri,Älvbygdens MK,KTM,19:54.5  19:25.7  19:21.7  ,3,58:42.0
,,,,,,,,,,
Tibro MK,2023,8,Ungdom E0,57,Filip Wahlström,Hallsbergs MK,Husqvarna,19:35.3  19:25.5  20:06.6  ,3,59:07.5
,,,,,,,,,,
Tibro MK,2023,9,Motion 50-59,1255,Jimmy Kaukinen,Wäxjö MS,GasGas,19:42.0  19:41.7  19:43.9  ,3,59:07.7
,,,,,,,,,,
Tibro MK,2023,10,Motion 50-59,1355,Robert Oskarsson,Hallsbergs MK,Husqvarna,19:53.5  19:35.3  19:48.4  ,3,59:17.3
,,,,,,,,,,
Tibro MK,2023,11,Ungdom E0,7,Leo Klasson,Tibro MK,Suzuki,19:42.9  19:50.1  19:57.0  ,3,59:30.2
,,,,,,,,,,
Tibro MK,2023,12,Motion 50-59,1210,Lars Arvidsson,Kullings MS,KTM,20:02.6  19:46.1  19:53.2  ,3,59:41.9
,,,,,,,,,,
Tibro MK,2023,13,Motion 50-59,1228,Jerker Svantesson,Kullings MS,KTM,20:08.7  19:59.0  19:48.6  ,3,59:56.4
,,,,,,,,,,
Tibro MK,2023,14,Motion 60-,1521,Mikael Persson,Töreboda MK,Sherco,20:20.9  19:54.8  19:44.4  ,3,00:00.1
,,,,,,,,,,
Tibro MK,2023,15,Motion 50-59,1300,Christian Hagberg,FMCK Borås,KTM,19:54.2  20:00.3  20:09.2  ,3,00:03.9
