Tidaholms MK,2024,#,Namn,Klubb,Märke,Klass,Seeding
,,1218,Sören Fransson,Kinds MK,KTM,Motion 50-59,1
,,20,Robert Friberg,FMCK Skövde,Husqvarna,Senior,2
,,3,Nisse Bengtsson,Tidaholms MK,Yamaha,Senior,3
,,119,Hugo Andersson,Tibro MK,Sherco,Junior,4
,,82,Arvid Karlsson,FMCK Skövde,KTM,Senior,5
,,1333,Klas Elofsson,Skene MS,Beta,Motion 50-59,6
,,106,Hampus Andersson,Tibro MK,Sherco,Ungdom E1,7
,,200,Andreas Toresson,Lilla Edets MCK,KTM,Bredd,8
,,600,Alexander Fält,Försvarsmaktens EK,Honda,Motion -39,9
,,144,Alfred Karlsson,FMCK Skövde,KTM,Junior,10
,,141,William Brehag Von Haugwitz,Carlsborgs MK,Yamaha,Ungdom E1,11
,,1231,Joakim Fri,Älvbygdens MK,KTM,Motion 50-59,12
,,1219,Conny Ståhl,Hjo MK,Kawasaki,Motion 50-59,13
,,157,Filip Wahlström,Hallsbergs MK,Husqvarna,Ungdom E1,14
,,183,Mille Söderblom,Hallsbergs MK,GasGas,Ungdom E1,15
,,1203,Peter Appelqvist,Kortedala MK,Yamaha,Motion 50-59,16
,,1215,Christer Johansson,Varbergs MK,Husqvarna,Motion 50-59,17
,,1300,Christian Hagberg,FMCK Borås,KTM,Motion 50-59,18
,,1561,Jan-Olof Wallskog,Töreboda MK,KTM,Motion 60-,19
,,1223,Tommi Ragnarsson,Skene MS,KTM,Motion 50-59,20
,,19,Douglas Sjöblom,SMK Värnamo,Husqvarna,Ungdom E0,21
,,1312,Lars Arvidsson,Kullings MS,KTM,Motion 50-59,22
,,547,Felix Johansson,Kinds MK,Honda,Motion -39,23
,,1311,Richard Karlsson,Götene MK,Husqvarna,Motion 50-59,24
,,1229,Peter Björnqvist,FMCK Borås,Husqvarna,Motion 50-59,25
,,102,Liam Qvist,Åbågen MCK,Honda,Ungdom E1,26
,,900,Hans Torsborn,Ulricehamns MK,KTM,Motion 40-49,27
,,1206,Christer Hedihn,FMCK Borås,KTM,Motion 50-59,28
,,1521,Mikael Persson,Töreboda MK,Sherco,Motion 60-,29
,,1217,Michael Larsson,SMK Värnamo,Stark Varg,Motion 50-59,30
,,962,Jonas Bergqvist,Skene MS,Beta,Motion 40-49,31
,,924,Sebastian Carlsson,SMK Vadstena,Husqvarna,Motion 40-49,32
,,985,Joakim Ericsson,Töreboda MK,KTM,Motion 40-49,33
,,1227,Anders Roth,Kristdala Motorsällskap,Sherco,Motion 50-59,34
,,1236,Magnus Ragnarsson,Skene MS,Sherco,Motion 50-59,35
,,1269,Tony Larsson,FMCK Borås,KTM,Motion 50-59,36
,,903,Björn Bäckström,MK Ran,KTM,Motion 40-49,37
,,213,Björn Levin,Kinna MK,Husqvarna,Bredd,38
,,530,Patrik Olsson,Lilla Edets MCK,Beta,Motion -39,39
,,504,Christer Strand,Tibro MK,Kawasaki,Motion -39,40
,,1504,Tony Johnsson,FMCK Borås,KTM,Motion 60-,41
,,934,Johan Karlsson,Älvbygdens MK,Husqvarna,Motion 40-49,42
,,1357,Kenneth Zimmerblad,Skene MS,Beta,Motion 50-59,43
,,100,Ludwig Demegård,Tibro MK,KTM,Ungdom E1,44
,,103,Anton Magnusson,Norrahammars MK,KTM,Ungdom E1,45
,,912,Lars-Olof Lindström,FMCK Borås,KTM,Motion 40-49,46
,,929,Daniel Lundqvist,Töreboda MK,KTM,Motion 40-49,47
,,1271,Mats Johansson,Götene MK,KTM,Motion 50-59,48
,,1216,Per Hedskog,SMK Trollhättan,Yamaha,Motion 50-59,49
,,556,Tommy Gustafsson,Huskvarna MK,Husqvarna,Motion -39,50
,,906,Anders Billestedt Andersson,Stenungsunds MS,Stark Varg,Motion 40-49,51
,,1226,Henrik Bolmelid,Westerviks MSK,Husqvarna,Motion 50-59,52
,,1262,Jörgen Petersson,Oskarshamns MSK,Husqvarna,Motion 50-59,53
,,1200,Tony Lundberg,Hällefors MK,Kawasaki, ,54
,,511,Dennis Ring,FMCK Borås,Husqvarna,Motion -39,55
,,1006,Anton Bernhardsson,Kortedala MK,Honda,Motion 40-49,56
,,1334,Jonas Nordmark,Varbergs MK,Stark Varg,Motion 50-59,57
,,1519,Jan Backelin,MK Pionjär,Husqvarna,Motion 60-,58
,,1505,Dan Ask,SMK Trollhättan,KTM,Motion 60-,59
,,241,Joakim Svensson,Linköpings MS,KTM,Bredd,60
,,550,Eric Gustafsson,SMK Vingåker,KTM,Motion -39,61
,,509,Hugo Lindström,FMCK Borås,KTM,Motion -39,62
,,1260,Mathias Svensson,Skene MS,Husqvarna,Motion 50-59,63
,,974,Jonas Svensson,Hallsbergs MK,Yamaha,Motion 40-49,64
,,1517,Bo Karlsson,Lilla Edets MCK,KTM,Motion 60-,65
,,911,Robert Ahlin,Falköpings MK,KTM,Motion 40-49,66
,,500,Tommy Oldenburg,FMCK Skövde,KTM,Motion -39,67
,,1523,Mikael Kristensson,MCK Hallandia,Husqvarna,Motion 60-,68
,,106,Wilmer Jansson,Tidaholms MK,Husqvarna,Junior,69
,,517,Patric Gustafsson,Huskvarna MK,Husqvarna,Motion -39,70
,,1507,Niclas Starck,Wäxjö MS,KTM,Motion 60-,71
,,503,Christopher Skansen,Kinds MK,Beta,Motion -39,72
,,120,Albin Glansén,Tidaholms MK,Yamaha,Ungdom E1,73
,,1228,Johan Debrianté,SMK Ljungby,TM,Motion 50-59,74
,,1208,Marcus Ljung,SMK Trollhättan,KTM,Motion 50-59,75
,,472,Vilma Norlander,Kullings MS,KTM,Motion Dam,76
