Tidaholms MK,2024,#,Namn,Klubb,Seeding
,,949.0,Benny Andersson,Norrahammars MK,1
,,909.0,Christer Huss,Göta MS,2
,,1111.0,Magnus Edberg,Huskvarna MK,3
,,994.0,Niklas Strömberg,Götene MK,4
,,943.0,Mårten Gustavsson,Försvarsmaktens EK,5
,,918.0,Andréas Svensson,Stenungsunds MS,6
,,977.0,Sam Hämäläinen,Tibro MK,7
,,956.0,Mikael Bengtsson,Falköpings MK,8
,,935.0,Stefan Liljedahl,Tibro MK,9
,,900.0,Hans Torsborn,Ulricehamns MK,10
,,972.0,Andreas Jorlöv,Kullings MS,11
,,996.0,Filip Starck,Norrahammars MK,12
,,962.0,Jonas Bergqvist,Skene MS,13
,,924.0,Sebastian Carlsson,SMK Vadstena,14
,,985.0,Joakim Ericsson,Töreboda MK,15
,,,Niklas Fransson,Vimmerby MS,16
,,903.0,Björn Bäckström,MK Ran,17
,,933.0,Rikard Skerget,Stenungsunds MS,18
,,960.0,Fredric Randström,Hagfors MS,19
,,934.0,Johan Karlsson,Älvbygdens MK,20
,,957.0,Henrik Klövmark,Ma Lerum,21
,,1001.0,Robert Strandberg,Hjo MK,22
,,912.0,Lars-Olof Lindström,FMCK Borås,23
,,929.0,Daniel Lundqvist,Töreboda MK,24
,,906.0,Anders Billestedt Andersson,Stenungsunds MS,25
,,991.0,Patrik Förkrök Ledström,SMK Vadstena,26
,,979.0,Martin Börjesson,FMCK Borås,27
,,953.0,Magnus Enander,Ulricehamns MK,28
,,1006.0,Anton Bernhardsson,Kortedala MK,29
,,987.0,Christian Johansson,Tidaholms MK,30
,,974.0,Jonas Svensson,Hallsbergs MK,31
,,911.0,Robert Ahlin,Falköpings MK,32
,,932.0,Tomas Blom,Hallsbergs MK,33
,,914.0,Niklas Utterberg,Norrahammars MK,34
,,990.0,Johan Kjellson,FMCK Skövde,35
,,992.0,Hannu Ylipekkala,Anderstorp RC,36
,,902.0,Peter Berggren,BMK Uddevalla,37
,,971.0,Jonas Gustafsson,Götene MK,38
,,920.0,Christoffer Johnsson,Hisingens MK,39
,,913.0,Daniel Blomqvist,FMCK Skövde,40
,,995.0,Johan Elfving,Ulricehamns MK,41
,,941.0,Fredrik Kron,Falköpings MK,42
,,904.0,Rickard Persson,Tibro MK,43
,,930.0,Håkan Lykkeberg,BMK Uddevalla,44
,,915.0,Martin Jonsson,Töreboda MK,45
,,984.0,Robban Markusson,SMK Vadstena,46
,,958.0,Erik Bergstrand,Oskarshamns MSK,47
,,926.0,Kristian Trygg,Falköpings MK,48
,,999.0,Johan Törnqvist,FMCK Skövde,49
,,948.0,Emil Kårlin,Lilla Edets MCK,50
,,1121.0,Andreas Lambert Melander,Lilla Edets MCK,51
,,922.0,Mikael Sahlin,Lidköpings MCK,52
,,908.0,Johan Alexandersson,Götene MK,53
,,980.0,Mark Edvardsson,Alingsås MCK,54
,,938.0,Per Karlsson,SMK Vadstena,55
,,998.0,Andreas Sandberg,FMCK Borås,56
,,923.0,Cristoffer Matlak,Alingsås MCK,57
,,939.0,Henrik Hermansson,SMK Vadstena,58
,,951.0,Karl Henrik Johan Wass,Götene MK,59
,,986.0,Oskar Jonzon,FMCK Skövde,60
,,905.0,Per Norlander,Kullings MS,61
,,916.0,Andreas Dahlström,Lidköpings MCK,62
,,917.0,Fredrik Hassesjö,Kullings MS,63
,,921.0,Mattias Roslund,Försvarsmaktens EK,64
,,993.0,Johan Olsson,SMK Värnamo,65
,,927.0,Mikael Dalåsen,SMK Trollhättan,66
,,931.0,Andreas Leth,Älvbygdens MK,67
,,969.0,Richard Carlsson,FMCK Skövde,68
,,936.0,Fredrik Erlandsson,Norrahammars MK,69
,,966.0,Jimmy Andersson,Stenungsunds MS,70
,,937.0,David Rudhem,Lidköpings MCK,71
,,982.0,Henric Reimer,FMCK Borås,72
,,981.0,John Ulinder,Götene MK,73
,,978.0,Kim Dubriang,Limhamns MK,74
,,940.0,Daniel Fridérus,Ulricehamns MK,75
,,976.0,Henrik Magnusson,Skene MS,76
,,945.0,Markus Björklund,Hjo MK,77
,,973.0,Ola Daniel Strandvad,RR KLUB VIKING,78
,,946.0,Jonny Zäll,Hjo MK,79
,,989.0,David Andersson,MCK Hallandia,80
,,947.0,Michael Carlsson,Skara MK,81
